,Panchy_et_al_E_signature,Panchy_et_al_M_signature
c.NCIH2171,0.03139013452914798,0.028409090909090908
c.NCIH2196,0.06726457399103139,0.056818181818181816
c.NCIH2227,0.008968609865470852,0.05113636363636364
c.NCIH2286,0.053811659192825115,0.07386363636363637
c.NCIH446,0.013452914798206279,0.03977272727272727
c.NCIH510,0.08520179372197309,0.022727272727272728
c.NCIH524,0.008968609865470852,0.028409090909090908
c.NCIH526,0.04035874439461883,0.03409090909090909
c.NCIH69,0.05829596412556054,0.045454545454545456
c.NCIH82,0.004484304932735426,0.03409090909090909
c.NCIH841,0.004484304932735426,0.056818181818181816
c.NCIH889,0.026905829596412557,0.045454545454545456
c.SBC5,0.008968609865470852,0.05113636363636364
c.SCLC21H,0.026905829596412557,0.022727272727272728
c.SHP77,0.03139013452914798,0.028409090909090908
c.SW1271,0.013452914798206279,0.07386363636363637
